,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx_rh_G_temp_sup-Plan_polar,0.7133401703,0.650984039,0.5280009704,-0.2014804305,1.796092145,-0.1324542656,0.4724582979,0.5629646759,0.1232639331,1.071892554,-0.7191658549,0.5637858898,0.2069900795,0.7220179899,0.3829105781,0.1804791582,0.5645560881,1.006340761,0.9438215447
ctx_rh_G_temp_sup-Plan_tempo,0.3833076247,0.2256751416,-0.009751252783,1.265808821,0.8795658631,1.016473251,1.38364348,0.9257616008,0.974020296,0.3378476571,0.2332755487,1.229214449,0.1036600126,0.7181849682,1.290177063,0.7340084402,0.6953182526,0.9366245467,0.2860679048
ctx_rh_G_temporal_inf,0.3485792829,0.7008029633,-0.06379525552,0.5276287941,1.296650973,0.3532218712,1.229396205,0.9253677953,0.9843457944,0.1069513871,-0.001876299474,1.096099673,-0.1686732421,0.4632418023,0.9465559817,0.4203476055,0.08904830778,0.8465498004,0.679142721
ctx_rh_G_temporal_middle,0.4308270703,0.6549503721,-0.0501967189,0.6662283442,0.9991993931,0.4113651424,1.436709797,1.067671259,1.17641354,0.2164836167,0.1137961945,1.163805081,-0.1394063191,0.5721269734,1.129611025,0.4343691151,0.2153210588,1.021061519,0.5906358407
ctx_rh_Lat_Fis-ant-Horizont,0.277408092,-0.1115129603,0.3564323522,0.4639742959,0.4087612167,0.9363370762,0.4806693328,0.1570166089,0.4564363389,0.0558663885,0.2513775532,0.2761564756,-0.02781675507,0.6671974495,0.7671360674,0.1915396461,0.07692925146,0.1040311703,0.3765404169
ctx_rh_Lat_Fis-ant-Vertical,0.3842392744,-0.07360588107,0.169058809,0.7354655439,0.748302309,1.286386501,0.1690751993,-0.06528196114,0.855048774,-0.2248294643,0.3975535562,0.535235665,-0.01923037209,0.6896941897,0.9812928757,0.8083973219,0.5099952294,0.5365936139,0.6475234245
ctx_rh_Lat_Fis-post,0.7339957364,-0.03234050828,0.4598960485,0.5479175996,0.2427194138,0.1934727578,0.7594798279,0.4251398743,0.1837116881,0.6818942236,0.1838168933,0.2098794544,0.3164836452,1.107656602,0.6203589034,0.6218219114,-0.01115714781,-0.6003499149,0.1667892647
ctx_rh_Pole_occipital,-0.2663842866,-0.2576505525,-0.3385035911,0.1689797554,-0.3797239634,0.6373245878,0.9853942767,0.2512119525,0.4763528197,0.2403803867,-0.2608059841,0.815162279,-0.3370944346,0.2998289702,0.2528917122,0.8684899679,-0.1653626479,-0.3632999151,-1.284565106
ctx_rh_Pole_temporal,0.3944164301,0.7205276026,0.1426599876,-0.8466141751,1.119294316,-0.4522644187,0.9687703231,0.8774970651,0.09322535907,0.776984289,-0.8818365081,0.7681205202,-0.2051208178,0.7249350884,0.5566960648,0.1701258246,-0.2915483743,0.8945895849,0.9005047444
ctx_rh_S_calcarine,0.3728350276,-0.3838915621,0.1875800663,-0.1026582605,-0.2377397117,0.5336117089,0.7408286132,0.2061235189,0.411671406,0.5386523776,-0.3777179249,0.4053537143,-0.2209100045,0.5519620637,0.2117867688,1.162327906,-0.1833368718,-0.9339433881,-1.018711686
ctx_rh_S_central,-0.006886685333,-0.3564498615,0.08008883593,1.209952515,-0.1015404296,0.6503111122,0.1463369348,-0.08229209345,-0.2071981451,0.003745602353,0.1877407214,-0.2385338173,0.2394214534,0.5224394764,0.169722652,0.4305070213,-0.3219184846,-0.703896811,-0.5605707802
ctx_rh_S_cingul-Marginalis,0.6444588416,-0.2115414163,0.1688846794,0.7867955016,0.4017138173,0.3091553764,0.6312992085,0.3644020833,0.3959952386,0.2616679769,0.02291360976,0.4120656941,0.03693820463,0.6360487137,0.6699764742,0.2332253261,0.3179898691,0.1802371147,0.4529136864
ctx_rh_S_circular_insula_ant,0.811904404,0.4494079571,0.976609506,0.2880627911,1.048117385,0.8262168311,0.8622567535,0.494044703,0.6309591906,0.5647106093,0.1082202137,0.5767795722,0.1970517118,1.159277751,0.9131535521,0.8816081562,0.767594746,0.7339813035,1.291679587
ctx_rh_S_circular_insula_inf,0.9883960691,0.7324986972,0.8162948174,0.4170298381,1.230142032,0.04529021554,0.6740747666,0.5340245637,0.7292939122,1.007284393,-0.1593035229,0.7981825045,0.6078580268,0.9948789097,0.6937941609,0.3364552591,0.8768137752,0.6988033824,0.633264912
ctx_rh_S_circular_insula_sup,0.9933544917,0.8218745464,1.064243168,0.3505595771,0.7526285073,0.4224152824,0.6860673384,0.4016179321,0.8904839131,0.5126580199,0.2648591132,0.6728514654,0.4798862777,1.095793807,0.9048438455,0.6514542764,0.9872299197,0.6854307082,1.002409329
ctx_rh_S_collat_transv_ant,0.6672138604,0.7134337426,0.3877266787,-0.2208087294,1.881032407,-0.2027936223,0.700362815,0.489606581,0.7465680572,0.1540085093,-0.384371582,0.6813860607,-0.1463263635,0.6270389347,0.479202118,0.5729568931,-0.2465475749,0.6841136997,0.5547798214
ctx_rh_S_collat_transv_post,0.5510834619,-0.1122701893,0.2016847975,0.0430290839,-0.1637398919,-0.08024319125,0.903237369,0.461872272,0.6234072342,0.22099856,-0.07727873377,0.1530486444,-0.2719139157,0.615235236,-0.2666296072,1.360457548,-0.2385022964,-0.5264654678,-1.082695415
ctx_rh_S_front_inf,0.3927729834,-0.2571354331,0.2901433384,0.4934006036,0.2174535599,0.9041376137,0.4236559331,0.1326537265,0.4710625759,-0.1159271103,0.2813065375,0.02959534833,-0.03568997878,0.682975717,0.5850007644,0.5147363704,-0.0567104334,-0.1335257088,0.4878837987
