,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx_lh_Lat_Fis-ant-Vertical,-0.1694558771,0.4387885633,0.2602166828,0.602604674,-0.7599481344,0.8524805413,0.0271197375,-0.1553299097,0.1621767799,-0.2363015559,0.3095424677,1.611122727,-0.02492867232,0.706311053,0.5851635262,0.9427851421,0.4618525697,0.1956826289,0.5623671317
ctx_lh_Lat_Fis-post,-0.6762723364,-0.5251872777,0.02346919758,0.1474530329,-0.5879045913,-0.5922832306,-0.09974043915,-0.1731402967,-0.5907565024,-0.0191421953,0.04461935632,-0.634991128,-0.01280216012,0.1451723065,-0.9323370489,0.1111025686,-0.4905779619,0.2188933015,-0.4421844136
ctx_lh_Pole_occipital,-0.7515239956,-0.8854022025,-0.3505079272,0.02150518168,-0.3106862884,2.188727243,0.3315069585,-0.08452258596,0.5064124914,-0.04973840605,-0.471486654,1.545288305,-0.3731597381,-0.05545742502,0.5723889628,0.2589571446,-0.1920072287,0.7350372525,-1.254201907
ctx_lh_Pole_temporal,1.783763141,-0.4702150062,-0.03476287554,-0.6179374431,2.0900209,0.1044926654,1.009822985,0.8857044302,0.8726055383,0.616474523,-0.7141309649,1.529577482,-0.1382455152,0.6622376723,0.2415531482,0.3363857615,-0.1767913496,-0.1111939379,0.9937470514
ctx_lh_S_calcarine,-0.3908509012,-0.5959691076,-0.4001359672,0.07879901342,-0.6628423893,0.4378695191,0.5657037204,0.003073352726,-0.08730195585,0.2416816149,-0.4077887989,-0.02695437489,-0.2130720236,0.4873566435,0.6989883558,1.252726648,-0.1325954758,0.01461514519,-1.198354221
ctx_lh_S_central,-0.5775152942,1.026734977,-0.1037271748,1.161153807,-0.7262964744,-0.4175400242,-0.1150419495,-0.2385128969,-0.175877298,-0.185289996,0.164438857,0.408576834,0.2304844537,0.3312810227,-0.1162038641,0.2483797257,-0.30369331,0.5295564013,-0.6821092267
ctx_lh_S_cingul-Marginalis,-0.6704507397,0.7113272036,-0.3889110778,0.5858360505,-0.7693986323,-0.2914174325,0.4512194576,0.197663066,-0.2225324952,0.08381756138,-0.04723128503,-0.6577439729,-0.02064788195,0.4004209365,-0.7361577435,0.311886116,0.132361048,1.36882666,0.3525363907
ctx_lh_S_circular_insula_ant,-0.1837606812,0.773796977,2.952366447,0.2168711962,-0.03890632545,-0.4942592589,0.6161668439,0.2983551093,-0.04068241741,0.5363009356,0.06149094538,1.611122727,0.2478092803,0.904461077,-0.7292593667,0.8554001167,1.371465394,0.289949476,1.187536698
ctx_lh_S_circular_insula_inf,1.076587219,-0.3876879078,1.070073627,0.3618122227,-0.622764039,-0.4914068106,0.563266983,0.4654459752,-0.8616339708,0.881450027,-0.09531414942,-0.04507432196,0.6116213086,0.6373788524,-0.6903367601,0.3630161639,0.6957522506,-0.6852658558,0.5516714314
ctx_lh_S_circular_insula_sup,-0.6253388468,0.4373749864,2.063495006,0.1930524729,-0.6133500229,-0.4226582546,0.5352372843,0.281363297,-0.4610688425,0.4615857393,0.2125886319,1.113746356,0.4382850627,0.7179784415,-0.467280707,0.6023735849,0.6534290896,-0.5326935895,0.6619842715
