,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right-Cerebral-White-Matter,-0.1674323534,0.5239637607,0.1413971597,-0.08065943089,-0.1750885153,-0.3394012535,-0.2824566515,-0.2406414602,-0.253125869,-0.2300327626,-0.1986718223,-0.2784935973,-0.1020412838,-0.1767398232,-0.2143427723,0.25123698,-0.2872137621,-0.4338760946,-0.3824324967
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right-Lateral-Ventricle,-0.4043294396,1.595333104,0.1754074843,-1.342755034,-0.007035703307,-0.3039742929,-0.4062753844,-0.2546126387,-0.2214565027,-0.2409945261,-0.6927898543,-0.2982739552,-0.1536264744,-0.8683771638,-0.5952855425,-0.3033403134,-0.3953430349,-0.7533775891,-0.5537561845
Right-Inf-Lat-Vent,-0.5076747036,0.04725064699,1.250554064,-0.7723053443,-0.6534537387,-0.313439676,0.01435696538,0.7474237026,-0.6332214043,1.16125391,-0.6107376072,-0.7377859055,0.6748140336,-0.2439027487,1.394834464,0.1677560343,-0.4038137343,-0.491690956,0.2068390992
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right-Cerebellum-White-Matter,-0.7415945617,-0.8933582234,-0.4469185901,-0.3866286499,0.1910345552,0.4271048313,-0.771205965,-0.6871747453,0.4504489057,-0.4523163129,0.9862847545,-0.6952582293,0.2871985137,0.1443000704,1.345022254,-0.0109383311,-0.9555926224,-0.05787855339,-0.4580720495
Right-Cerebellum-Cortex,-0.4087300964,-0.8662254929,-0.4857716031,-0.2252933146,0.4836384242,1.062124689,-0.7008540943,-0.6172830675,0.3341081069,-0.4786041277,1.183450679,0.2080464473,0.3078139287,0.3770554179,1.065792161,-0.07476276391,-0.3006621094,0.6030050815,0.3404822653
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right-Thalamus-Proper,-0.536888848,1.240113179,0.619446932,1.803285978,-0.3167973555,-0.5163429992,-0.1238512908,0.5630134157,-0.7079186619,3.929471951,4.854622793,-0.7010377546,1.44668392,1.591278345,-0.8989330589,-0.1850840711,0.06423548252,-1.599584122,2.879279656
Right-Caudate,-0.6300170803,2.393967482,3.3788007,-1.860457714,0.003645835358,-0.4694335706,-0.6963696572,3.181612981,-0.4025003997,1.496657352,-0.1312147932,-0.6520858141,4.823271582,0.7779819347,-0.6778646928,-0.2822611245,2.144054347,-1.246026394,1.553960531
Right-Putamen,-0.6478035185,1.493797475,4.449353262,-0.1670657231,-0.684430999,-0.4899548064,-0.03770543282,5.520545139,-0.8132090516,4.021986189,0.4695965183,-0.7417800318,7.455013333,1.437492493,0.9300219976,0.455572075,5.058905825,-1.614724167,2.020827051
Right-Pallidum,-0.6858553694,1.333607944,2.858683341,-0.1108108893,-0.5945128899,-0.4901136965,-0.374093636,4.583368971,-0.4364040764,3.959038226,0.2747752273,-0.7287025613,2.446145523,0.8084875565,0.182089972,-0.2358941211,4.136325256,-1.620143256,0.2248521679
Right-Hippocampus,-0.7106594403,0.5797804903,0.6702928876,-0.5026902609,-0.4507085173,-0.2592726852,0.05320381364,0.9584777277,-0.3272180208,0.8646485977,-0.07563574853,-0.5024215152,0.7878511247,1.113201872,0.909758281,0.2989884495,-0.447299148,-0.7963832837,-0.3963326591
Right-Amygdala,-0.4891016864,-0.1553342642,1.183202853,-0.2553641503,-0.6265865623,-0.2692629307,0.02993753951,0.8381665137,-0.8259198929,2.550672783,-0.3855156242,-0.7518280793,1.365766649,0.475113231,1.167586059,0.1086548746,0.5224863208,-0.4480350325,2.28134454
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right-Accumbens-area,-0.5245034176,0.8270279701,3.511107854,0.1036084878,-0.6293984158,-0.4835608658,0.297027434,2.268418941,-0.9334495007,2.574794146,0.4188834918,-0.6423860482,4.103772161,0.8212552438,-0.5019584724,0.6804328087,3.892060217,-1.235424562,4.008067428
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right-VentralDC,-0.6155878698,-0.02790195603,0.7643890174,2.046266015,0.06293148414,-0.1566445567,-0.6838552959,-0.3021469443,-0.6821911503,1.13205386,2.226114728,-0.7374574898,0.7556308775,0.05344605222,-0.6997117525,-0.7618958532,0.7824002599,-1.357482579,0.01035248087
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right-vessel,0.07443788623,0.2823053916,3.475216198,-0.2769669006,-0.7000320554,-0.4436608036,-0.3676677406,1.181389165,-1.157589952,2.562017663,-0.2618742565,-0.7707169493,3.645192353,0.772648787,1.854710023,0.4719720066,5.611456426,-1.231417402,0.8214619756
Right-choroid-plexus,-0.6833322195,2.217723674,0.2253191984,-1.809120019,-0.3362671204,-0.4952030866,-0.1075857554,-0.3997224469,-0.2989135106,-0.103342061,0.1671821417,-0.1806119681,-0.08634450223,0.1041111448,-0.7177603231,-0.3483881396,-1.069438841,-1.151295512,0.02823557169
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
